"Four-Year Graduation Rates, 2010-11"
"All Districts, Gender"

"",,,"Non-Graduates",,,
"District","Gender","Four-Year Cohort Count","Still Enrolled Count","Still Enrolled Rate","Other Count","Other Rate"
"Amistad Academy District","Female",17,"*","*","*","*"
"Amistad Academy District","Male",12,"*","*","*","*"
"Ansonia School District","Female",94,8,8.5,18,19.1
"Ansonia School District","Male",94,15,16.0,17,18.1
"Avon School District","Female",136,"*","*","*","*"
"Avon School District","Male",118,"*","*","*","*"
"Berlin School District","Female",125,"*","*",6,4.8
"Berlin School District","Male",136,"*","*",7,5.1
"Bethel School District","Female",133,"*","*","*","*"
"Bethel School District","Male",117,"*","*","*","*"
"Bloomfield School District","Female",92,7,7.6,9,9.8
"Bloomfield School District","Male",95,20,21.1,12,12.6
"Bolton School District","Female",48,"*","*","*","*"
"Bolton School District","Male",26,"*","*","*","*"
"Branford School District","Female",135,"*","*","*","*"
"Branford School District","Male",149,"*","*","*","*"
"Bridgeport School District","Female",695,62,8.9,163,23.5
"Bridgeport School District","Male",742,127,17.1,216,29.1
"Bristol School District","Female",357,27,7.6,43,12.0
"Bristol School District","Male",352,41,11.6,54,15.3
"Brookfield School District","Female",121,"*","*","*","*"
"Brookfield School District","Male",144,"*","*","*","*"
"Canton School District","Female",56,"*","*","*","*"
"Canton School District","Male",64,"*","*","*","*"
"Capitol Region Education Council","Female",172,"*","*",20,11.6
"Capitol Region Education Council","Male",127,"*","*",13,10.2
"Cheshire School District","Female",164,"*","*","*","*"
"Cheshire School District","Male",211,"*","*","*","*"
"Clinton School District","Female",78,"*","*","*","*"
"Clinton School District","Male",67,"*","*","*","*"
"Colchester School District","Female",122,"*","*","*","*"
"Colchester School District","Male",128,"*","*","*","*"
"Common Ground High School District","Female",21,"*","*","*","*"
"Common Ground High School District","Male",17,"*","*","*","*"
"Connecticut Technical High School System","Female",838,"*","*",62,7.4
"Connecticut Technical High School System","Male",1505,"*","*",80,5.3
"Coventry School District","Female",86,"*","*","*","*"
"Coventry School District","Male",67,"*","*","*","*"
"Cromwell School District","Female",94,"*","*","*","*"
"Cromwell School District","Male",76,"*","*","*","*"
"Danbury School District","Female",365,26,7.1,40,11.0
"Danbury School District","Male",393,49,12.5,58,14.8
"Darien School District","Female",161,"*","*","*","*"
"Darien School District","Male",166,"*","*","*","*"
"Derby School District","Female",56,"*","*","*","*"
"Derby School District","Male",69,"*","*","*","*"
"East Granby School District","Female",39,"*","*","*","*"
"East Granby School District","Male",37,"*","*","*","*"
"East Haddam School District","Female",47,"*","*","*","*"
"East Haddam School District","Male",50,"*","*","*","*"
"East Hampton School District","Female",66,"*","*","*","*"
"East Hampton School District","Male",73,"*","*","*","*"
"East Hartford School District","Female",306,15,4.9,33,10.8
"East Hartford School District","Male",292,37,12.7,37,12.7
"East Haven School District","Female",152,"*","*",13,8.6
"East Haven School District","Male",148,"*","*",16,10.8
"East Lyme School District","Female",163,"*","*","*","*"
"East Lyme School District","Male",162,"*","*","*","*"
"East Windsor School District","Female",45,"*","*","*","*"
"East Windsor School District","Male",48,"*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","Female",32,"*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","Male",27,"*","*","*","*"
"Ellington School District","Female",98,"*","*","*","*"
"Ellington School District","Male",84,"*","*","*","*"
"Enfield School District","Female",249,12,4.8,24,9.6
"Enfield School District","Male",276,34,12.3,28,10.1
"Explorations District","Female",18,"*","*","*","*"
"Explorations District","Male",16,"*","*","*","*"
"Fairfield School District","Female",340,7,2.1,"*","*"
"Fairfield School District","Male",316,19,6.0,"*","*"
"Farmington School District","Female",167,"*","*",7,4.2
"Farmington School District","Male",171,"*","*",7,4.1
"Glastonbury School District","Female",285,"*","*","*","*"
"Glastonbury School District","Male",266,"*","*","*","*"
"Granby School District","Female",89,"*","*","*","*"
"Granby School District","Male",105,"*","*","*","*"
"Greenwich School District","Female",285,13,4.6,"*","*"
"Greenwich School District","Male",347,13,3.7,"*","*"
"Griswold School District","Female",106,6,5.7,10,9.4
"Griswold School District","Male",94,8,8.5,14,14.9
"Groton School District","Female",179,"*","*",30,16.8
"Groton School District","Male",157,"*","*",24,15.3
"Guilford School District","Female",144,"*","*","*","*"
"Guilford School District","Male",127,"*","*","*","*"
"Hamden School District","Female",288,12,4.2,29,10.1
"Hamden School District","Male",298,31,10.4,26,8.7
"Hartford School District","Female",794,72,9.1,195,24.6
"Hartford School District","Male",809,111,13.7,211,26.1
"Killingly School District","Female",108,"*","*",22,20.4
"Killingly School District","Male",90,"*","*",23,25.6
"Lebanon School District","Female",80,"*","*","*","*"
"Lebanon School District","Male",80,"*","*","*","*"
"Ledyard School District","Female",119,"*","*",6,5.0
"Ledyard School District","Male",116,"*","*",8,6.9
"Lisbon School District","Female","*","*","*","*","*"
"Lisbon School District","Male","*","*","*","*","*"
"Litchfield School District","Female",51,"*","*","*","*"
"Litchfield School District","Male",44,"*","*","*","*"
"Madison School District","Female",159,"*","*","*","*"
"Madison School District","Male",158,"*","*","*","*"
"Manchester School District","Female",275,24,8.7,52,18.9
"Manchester School District","Male",259,36,13.9,42,16.2
"Meriden School District","Female",331,15,4.5,69,20.8
"Meriden School District","Male",299,39,13.0,67,22.4
"Middletown School District","Female",181,15,8.3,17,9.4
"Middletown School District","Male",169,22,13.0,27,16.0
"Milford School District","Female",265,16,6.0,12,4.5
"Milford School District","Male",227,24,10.6,8,3.5
"Monroe School District","Female",198,"*","*","*","*"
"Monroe School District","Male",169,"*","*","*","*"
"Montville School District","Female",93,"*","*",13,14.0
"Montville School District","Male",112,"*","*",10,8.9
"Naugatuck School District","Female",181,7,3.9,21,11.6
"Naugatuck School District","Male",189,15,7.9,21,11.1
"New Britain School District","Female",389,65,16.7,120,30.8
"New Britain School District","Male",369,80,21.7,104,28.2
"New Canaan School District","Female",151,"*","*","*","*"
"New Canaan School District","Male",160,"*","*","*","*"
"New Fairfield School District","Female",120,"*","*","*","*"
"New Fairfield School District","Male",121,"*","*","*","*"
"New Haven School District","Female",752,51,6.8,191,25.4
"New Haven School District","Male",698,108,15.5,173,24.8
