"Four-Year Graduation Rates, 2014-15"
"All Districts, Gender"

"",,,"Graduates",
"District","Gender","Four-Year Cohort Count","Graduation Count","Graduation Rate"
"Amistad Academy District","Female",16,14,87.5
"Amistad Academy District","Male",13,10,76.9
"Ansonia School District","Female",74,64,86.5
"Ansonia School District","Male",98,80,81.6
"Avon School District","Female",138,133,96.4
"Avon School District","Male",110,105,95.5
"Berlin School District","Female",96,95,99.0
"Berlin School District","Male",114,102,89.5
"Bethel School District","Female",108,105,97.2
"Bethel School District","Male",110,104,94.5
"Bloomfield School District","Female",100,87,87.0
"Bloomfield School District","Male",76,67,88.2
"Bolton School District","Female",28,28,100.0
"Bolton School District","Male",48,45,93.8
"Branford School District","Female",130,123,94.6
"Branford School District","Male",123,105,85.4
"Bridgeport Achievement First District","Female",17,16,94.1
"Bridgeport Achievement First District","Male",14,13,92.9
"Bridgeport School District","Female",601,412,68.6
"Bridgeport School District","Male",587,343,58.4
"Bristol School District","Female",308,267,86.7
"Bristol School District","Male",339,259,76.4
"Brookfield School District","Female",126,122,96.8
"Brookfield School District","Male",109,102,93.6
"Canton School District","Female",53,51,96.2
"Canton School District","Male",79,75,94.9
"Capitol Region Education Council","Female",193,178,92.2
"Capitol Region Education Council","Male",130,114,87.7
"Cheshire School District","Female",196,192,98.0
"Cheshire School District","Male",196,189,96.4
"Clinton School District","Female",74,70,94.6
"Clinton School District","Male",88,76,86.4
"Colchester School District","Female",123,116,94.3
"Colchester School District","Male",105,94,89.5
"Common Ground High School District","Female",17,17,100.0
"Common Ground High School District","Male",20,20,100.0
"Connecticut Technical High School System","Female",958,923,96.3
"Connecticut Technical High School System","Male",1510,1481,98.1
"Coventry School District","Female",60,57,95.0
"Coventry School District","Male",57,52,91.2
"Cromwell School District","Female",62,61,98.4
"Cromwell School District","Male",66,62,93.9
"Danbury School District","Female",378,313,82.8
"Danbury School District","Male",394,282,71.6
"Darien School District","Female",182,178,97.8
"Darien School District","Male",152,145,95.4
"Derby School District","Female",54,47,87.0
"Derby School District","Male",48,38,79.2
"East Granby School District","Female",30,30,100.0
"East Granby School District","Male",31,31,100.0
"East Haddam School District","Female",52,48,92.3
"East Haddam School District","Male",61,54,88.5
"East Hampton School District","Female",69,67,97.1
"East Hampton School District","Male",58,53,91.4
"East Hartford School District","Female",276,252,91.3
"East Hartford School District","Male",290,246,84.8
"East Haven School District","Female",119,92,77.3
"East Haven School District","Male",125,92,73.6
"East Lyme School District","Female",129,126,97.7
"East Lyme School District","Male",145,134,92.4
"East Windsor School District","Female",37,31,83.8
"East Windsor School District","Male",53,47,88.7
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","Female",40,35,87.5
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","Male",32,19,59.4
"Ellington School District","Female",101,100,99.0
"Ellington School District","Male",105,100,95.2
"Elm City College Preparatory School District","Female","*","*","*"
"Elm City College Preparatory School District","Male","*","*","*"
"Enfield School District","Female",206,186,90.3
"Enfield School District","Male",186,154,82.8
"Explorations District","Female",14,13,92.9
"Explorations District","Male",9,7,77.8
"Fairfield School District","Female",378,366,96.8
"Fairfield School District","Male",339,309,91.2
"Farmington School District","Female",162,157,96.9
"Farmington School District","Male",173,164,94.8
"Glastonbury School District","Female",258,254,98.4
"Glastonbury School District","Male",266,258,97.0
"Granby School District","Female",88,87,98.9
"Granby School District","Male",77,74,96.1
"Greenwich School District","Female",317,307,96.8
"Greenwich School District","Male",330,309,93.6
"Griswold School District","Female",79,71,89.9
"Griswold School District","Male",69,60,87.0
"Groton School District","Female",143,125,87.4
"Groton School District","Male",129,113,87.6
"Guilford School District","Female",142,138,97.2
"Guilford School District","Male",132,122,92.4
"Hamden School District","Female",226,210,92.9
"Hamden School District","Male",239,201,84.1
"Hartford School District","Female",727,543,74.7
"Hartford School District","Male",757,498,65.8
"Killingly School District","Female",104,85,81.7
"Killingly School District","Male",99,71,71.7
"Learn","Female",90,86,95.6
"Learn","Male",86,71,82.6
"Lebanon School District","Female",58,56,96.6
"Lebanon School District","Male",37,34,91.9
"Ledyard School District","Female",115,110,95.7
"Ledyard School District","Male",118,106,89.8
"Litchfield School District","Female",30,30,100.0
"Litchfield School District","Male",40,40,100.0
"Madison School District","Female",160,158,98.8
"Madison School District","Male",149,147,98.7
"Manchester School District","Female",232,196,84.5
"Manchester School District","Male",222,171,77.0
"Meriden School District","Female",302,234,77.5
"Meriden School District","Male",324,229,70.7
