"Four-Year Graduation Rates, 2015-16",,,,,
"All Districts, Gender",,,,,
,,,,,
,,,,Graduates,
District,District Code,Gender,Four-Year Cohort Count,Graduation Count,Graduation Rate
Achievement First Hartford Academy Inc. District,2880013,Female,22,*,*
Achievement First Hartford Academy Inc. District,2880013,Male,13,*,*
Amistad Academy District,2790013,Female,14,14,*
Amistad Academy District,2790013,Male,16,13,*
Ansonia School District,0020011,Female,62,56,90.3
Ansonia School District,0020011,Male,76,56,73.7
Avon School District,0040011,Female,114,111,97.4
Avon School District,0040011,Male,126,122,96.8
Berlin School District,0070011,Female,114,108,94.7
Berlin School District,0070011,Male,135,128,94.8
Bethel School District,0090011,Female,116,111,95.7
Bethel School District,0090011,Male,135,126,93.3
Bloomfield School District,0110011,Female,64,61,95.3
Bloomfield School District,0110011,Male,92,81,88
Bolton School District,0120011,Female,44,*,*
Bolton School District,0120011,Male,41,*,*
Branford School District,0140011,Female,127,124,97.6
Branford School District,0140011,Male,129,116,89.9
Bridgeport Achievement First District,2850013,Female,17,*,*
Bridgeport Achievement First District,2850013,Male,13,*,*
Bridgeport School District,0150011,Female,664,495,74.5
Bridgeport School District,0150011,Male,723,427,59.1
Bristol School District,0170011,Female,317,272,85.8
Bristol School District,0170011,Male,342,276,80.7
Brookfield School District,0180011,Female,117,*,*
Brookfield School District,0180011,Male,98,*,*
Canton School District,0230011,Female,49,47,95.9
Canton School District,0230011,Male,57,55,96.5
Capital Preparatory Harbor School Inc. District,2970013,Female,*,*,*
Capital Preparatory Harbor School Inc. District,2970013,Male,*,*,*
Capitol Region Education Council,2410014,Female,239,226,94.6
Capitol Region Education Council,2410014,Male,186,167,89.8
Cheshire School District,0250011,Female,172,168,97.7
Cheshire School District,0250011,Male,215,203,94.4
Clinton School District,0270011,Female,70,61,87.1
Clinton School District,0270011,Male,70,62,88.6
Colchester School District,0280011,Female,115,110,95.7
Colchester School District,0280011,Male,99,92,92.9
Common Ground High School District,2680013,Female,19,*,*
Common Ground High School District,2680013,Male,15,*,*
Connecticut Technical High School System,9000016,Female,960,927,96.6
Connecticut Technical High School System,9000016,Male,1511,1473,97.5
Coventry School District,0320011,Female,62,59,95.2
Coventry School District,0320011,Male,68,58,85.3
Cromwell School District,0330011,Female,64,62,96.9
Cromwell School District,0330011,Male,79,71,89.9
Danbury School District,0340011,Female,377,316,83.8
Danbury School District,0340011,Male,389,274,70.4
Darien School District,0350011,Female,154,*,*
Darien School District,0350011,Male,178,*,*
Department of Mental Health and Addiction Services,3370015,Female,*,*,*
Department of Mental Health and Addiction Services,3370015,Male,*,*,*
Derby School District,0370011,Female,47,39,83
Derby School District,0370011,Male,50,35,70
East Granby School District,0400011,Female,32,*,*
East Granby School District,0400011,Male,40,*,*
East Haddam School District,0410011,Female,42,*,*
East Haddam School District,0410011,Male,38,*,*
East Hampton School District,0420011,Female,81,*,*
East Hampton School District,0420011,Male,70,*,*
East Hartford School District,0430011,Female,280,255,91.1
East Hartford School District,0430011,Male,263,226,85.9
East Haven School District,0440011,Female,128,103,80.5
East Haven School District,0440011,Male,112,74,66.1
East Lyme School District,0450011,Female,144,138,95.8
East Lyme School District,0450011,Male,115,103,89.6
East Windsor School District,0470011,Female,36,33,91.7
East Windsor School District,0470011,Male,42,35,83.3
Eastern Connecticut Regional Educational Service Center (EASTCONN),2530014,Female,56,*,*
Eastern Connecticut Regional Educational Service Center (EASTCONN),2530014,Male,17,*,*
Ellington School District,0480011,Female,110,*,*
Ellington School District,0480011,Male,77,*,*
Elm City College Preparatory School District,2890013,Female,*,*,*
Elm City College Preparatory School District,2890013,Male,*,*,*
Enfield School District,0490011,Female,225,191,84.9
Enfield School District,0490011,Male,222,187,84.2
Explorations District,2720013,Female,15,*,*
Explorations District,2720013,Male,12,*,*
Fairfield School District,0510011,Female,397,380,95.7
Fairfield School District,0510011,Male,363,339,93.4
Farmington School District,0520011,Female,165,162,98.2
Farmington School District,0520011,Male,173,161,93.1
Glastonbury School District,0540011,Female,290,284,97.9
Glastonbury School District,0540011,Male,247,237,96
Granby School District,0560011,Female,84,84,100
Granby School District,0560011,Male,110,107,97.3
Greenwich School District,0570011,Female,320,306,95.6
Greenwich School District,0570011,Male,314,292,93
Griswold School District,0580011,Female,65,59,90.8
Griswold School District,0580011,Male,85,71,83.5
Groton School District,0590011,Female,129,115,89.1
Groton School District,0590011,Male,137,114,83.2
Guilford School District,0600011,Female,102,95,93.1
Guilford School District,0600011,Male,149,139,93.3
Hamden School District,0620011,Female,228,205,89.9
Hamden School District,0620011,Male,237,202,85.2
Hartford School District,0640011,Female,732,552,75.4
Hartford School District,0640011,Male,783,519,66.3
Jumoke Academy District,2610013,Female,*,*,*
Jumoke Academy District,2610013,Male,*,*,*
Killingly School District,0690011,Female,96,81,84.4
Killingly School District,0690011,Male,114,86,75.4
Learn,2450014,Female,103,97,94.2
Learn,2450014,Male,90,85,94.4
Lebanon School District,0710011,Female,51,*,*
Lebanon School District,0710011,Male,51,*,*
Ledyard School District,0720011,Female,132,119,90.2
Ledyard School District,0720011,Male,100,91,91
Litchfield School District,0740011,Female,38,*,*
Litchfield School District,0740011,Male,47,*,*
Madison School District,0760011,Female,151,147,97.4
Madison School District,0760011,Male,151,148,98
Manchester School District,0770011,Female,205,176,85.9
Manchester School District,0770011,Male,202,162,80.2
Meriden School District,0800011,Female,292,224,76.7
Meriden School District,0800011,Male,319,201,63
Middletown School District,0830011,Female,162,147,90.7
Middletown School District,0830011,Male,172,142,82.6
Milford School District,0840011,Female,231,217,93.9
Milford School District,0840011,Male,251,228,90.8
Monroe School District,0850011,Female,141,141,100
Monroe School District,0850011,Male,149,146,98
