"Four-Year Graduation Rates, 2011-12"
"All Districts, Gender"

"",,,"Graduates",,"Non-Graduates",,,
"District","Gender","Four-Year Cohort Count","Graduation Count","Graduation Rate","Still Enrolled Count","Still Enrolled Rate","Other Count","Other Rate"
"Amistad Academy District","Female",8,6,75.0,"*","*","*","*"
"Amistad Academy District","Male",13,9,69.2,"*","*","*","*"
"Ansonia School District","Female",99,82,82.8,"*","*",13,13.1
"Ansonia School District","Male",106,74,69.8,"*","*",24,22.6
"Avon School District","Female",141,138,97.9,"*","*","*","*"
"Avon School District","Male",144,136,94.4,"*","*","*","*"
"Berlin School District","Female",147,141,95.9,"*","*","*","*"
"Berlin School District","Male",116,108,93.1,"*","*","*","*"
"Bethel School District","Female",128,124,96.9,"*","*","*","*"
"Bethel School District","Male",111,101,91.0,"*","*","*","*"
"Bloomfield School District","Female",104,83,79.8,11,10.6,"*","*"
"Bloomfield School District","Male",92,70,76.1,18,19.6,"*","*"
"Bolton School District","Female",37,35,94.6,"*","*","*","*"
"Bolton School District","Male",36,31,86.1,"*","*","*","*"
"Branford School District","Female",129,123,95.3,"*","*","*","*"
"Branford School District","Male",129,117,90.7,"*","*","*","*"
"Bridgeport School District","Female",632,459,72.6,42,6.6,131,20.7
"Bridgeport School District","Male",641,385,60.1,76,11.9,179,27.9
"Bristol School District","Female",319,278,87.1,14,4.4,27,8.5
"Bristol School District","Male",312,259,83.0,27,8.7,26,8.3
"Brookfield School District","Female",141,136,96.5,"*","*","*","*"
"Brookfield School District","Male",113,111,98.2,"*","*","*","*"
"Canton School District","Female",61,61,100.0,"*","*","*","*"
"Canton School District","Male",58,55,94.8,"*","*","*","*"
"Capitol Region Education Council","Female",167,141,84.4,"*","*",21,12.6
"Capitol Region Education Council","Male",168,125,74.4,"*","*",27,16.1
"Cheshire School District","Female",199,191,96.0,"*","*","*","*"
"Cheshire School District","Male",212,203,95.8,"*","*","*","*"
"Clinton School District","Female",61,56,91.8,"*","*","*","*"
"Clinton School District","Male",62,58,93.5,"*","*","*","*"
"Colchester School District","Female",140,134,95.7,"*","*","*","*"
"Colchester School District","Male",106,99,93.4,"*","*","*","*"
"Common Ground High School District","Female",13,11,84.6,"*","*","*","*"
"Common Ground High School District","Male",18,17,94.4,"*","*","*","*"
"Connecticut Technical High School System","Female",948,906,95.6,"*","*",40,4.2
"Connecticut Technical High School System","Male",1583,1522,96.1,"*","*",56,3.5
"Coventry School District","Female",70,63,90.0,"*","*","*","*"
"Coventry School District","Male",83,69,83.1,"*","*","*","*"
"Cromwell School District","Female",74,71,95.9,"*","*","*","*"
"Cromwell School District","Male",78,68,87.2,"*","*","*","*"
"Danbury School District","Female",393,320,81.4,34,8.7,39,9.9
"Danbury School District","Male",364,261,71.7,58,15.9,45,12.4
"Darien School District","Female",162,158,97.5,"*","*","*","*"
"Darien School District","Male",149,142,95.3,"*","*","*","*"
"Derby School District","Female",49,39,79.6,"*","*",8,16.3
"Derby School District","Male",57,41,71.9,"*","*",8,14.0
"East Granby School District","Female",31,30,96.8,"*","*","*","*"
"East Granby School District","Male",30,28,93.3,"*","*","*","*"
"East Haddam School District","Female",58,55,94.8,"*","*","*","*"
"East Haddam School District","Male",44,39,88.6,"*","*","*","*"
"East Hampton School District","Female",77,75,97.4,"*","*","*","*"
"East Hampton School District","Male",88,81,92.0,"*","*","*","*"
"East Hartford School District","Female",292,242,82.9,15,5.1,35,12.0
"East Hartford School District","Male",299,211,70.6,42,14.0,46,15.4
"East Haven School District","Female",119,95,79.8,8,6.7,16,13.4
"East Haven School District","Male",111,71,64.0,11,9.9,29,26.1
"East Lyme School District","Female",159,153,96.2,"*","*","*","*"
"East Lyme School District","Male",144,133,92.4,"*","*","*","*"
"East Windsor School District","Female",45,40,88.9,"*","*","*","*"
"East Windsor School District","Male",44,37,84.1,"*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","Female",47,38,80.9,"*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","Male",39,30,76.9,"*","*","*","*"
"Ellington School District","Female",100,89,89.0,"*","*","*","*"
"Ellington School District","Male",103,94,91.3,"*","*","*","*"
"Elm City College Preparatory School District","Female",10,8,80.0,"*","*","*","*"
"Elm City College Preparatory School District","Male",9,7,77.8,"*","*","*","*"
"Enfield School District","Female",254,226,89.0,12,4.7,16,6.3
"Enfield School District","Male",258,210,81.4,18,7.0,30,11.6
"Explorations District","Female",18,"*","*","*","*",6,33.3
"Explorations District","Male",10,"*","*","*","*",6,60.0
"Fairfield School District","Female",383,363,94.8,11,2.9,9,2.3
"Fairfield School District","Male",307,287,93.5,11,3.6,9,2.9
"Farmington School District","Female",152,148,97.4,"*","*","*","*"
"Farmington School District","Male",152,138,90.8,"*","*","*","*"
"Glastonbury School District","Female",247,242,98.0,"*","*","*","*"
"Glastonbury School District","Male",265,249,94.0,"*","*","*","*"
"Granby School District","Female",98,94,95.9,"*","*","*","*"
"Granby School District","Male",91,90,98.9,"*","*","*","*"
"Greenwich School District","Female",315,299,94.9,7,2.2,9,2.9
