"Four-Year Graduation Rates, 2018-19"
"All Districts, Gender"

"",,,,"Graduates",
"District","District Code","Gender","Four-Year Cohort Count","Graduation Count","Graduation Rate"
"Achievement First Bridgeport Academy District","=""2850013""","Female",28,25,89.3
"Achievement First Bridgeport Academy District","=""2850013""","Male",19,16,"*"
"Achievement First Hartford Academy District","=""2880013""","Female",17,16,"*"
"Achievement First Hartford Academy District","=""2880013""","Male",15,15,"*"
"Amistad Academy District","=""2790013""","Female",21,19,90.5
"Amistad Academy District","=""2790013""","Male",32,24,75.0
"Ansonia School District","=""0020011""","Female",77,68,88.3
"Ansonia School District","=""0020011""","Male",104,89,85.6
"Avon School District","=""0040011""","Female",125,120,96.0
"Avon School District","=""0040011""","Male",99,92,92.9
"Berlin School District","=""0070011""","Female",106,105,99.1
"Berlin School District","=""0070011""","Male",127,124,97.6
"Bethel School District","=""0090011""","Female",104,99,95.2
"Bethel School District","=""0090011""","Male",133,125,94.0
"Bloomfield School District","=""0110011""","Female",70,65,92.9
"Bloomfield School District","=""0110011""","Male",91,75,82.4
"Bolton School District","=""0120011""","Female",33,31,93.9
"Bolton School District","=""0120011""","Male",34,30,88.2
"Branford School District","=""0140011""","Female",118,109,92.4
"Branford School District","=""0140011""","Male",110,91,82.7
"Bridgeport School District","=""0150011""","Female",667,537,80.5
"Bridgeport School District","=""0150011""","Male",790,571,72.3
"Bristol School District","=""0170011""","Female",288,259,89.9
"Bristol School District","=""0170011""","Male",344,286,83.1
"Brookfield School District","=""0180011""","Female",109,107,98.2
"Brookfield School District","=""0180011""","Male",108,97,89.8
"Canton School District","=""0230011""","Female",66,64,97.0
"Canton School District","=""0230011""","Male",58,54,93.1
"Capital Preparatory Harbor School District","=""2970013""","Female",12,11,"*"
"Capital Preparatory Harbor School District","=""2970013""","Male",19,10,"*"
"Capitol Region Education Council","=""2410014""","Female",269,253,94.1
"Capitol Region Education Council","=""2410014""","Male",236,216,91.5
"Cheshire School District","=""0250011""","Female",195,193,99.0
"Cheshire School District","=""0250011""","Male",180,173,96.1
"Clinton School District","=""0270011""","Female",66,62,93.9
"Clinton School District","=""0270011""","Male",78,76,97.4
"Colchester School District","=""0280011""","Female",95,88,92.6
"Colchester School District","=""0280011""","Male",100,88,88.0
"Common Ground High School District","=""2680013""","Female",20,19,95.0
"Common Ground High School District","=""2680013""","Male",27,24,88.9
"Connecticut Technical Education and Career System","=""9000016""","Female",962,934,97.1
"Connecticut Technical Education and Career System","=""9000016""","Male",1377,1340,97.3
"Coventry School District","=""0320011""","Female",51,49,96.1
"Coventry School District","=""0320011""","Male",56,53,94.6
"Cromwell School District","=""0330011""","Female",65,64,98.5
"Cromwell School District","=""0330011""","Male",68,62,91.2
"Danbury School District","=""0340011""","Female",372,321,86.3
"Danbury School District","=""0340011""","Male",418,306,73.2
"Darien School District","=""0350011""","Female",167,162,97.0
"Darien School District","=""0350011""","Male",168,166,98.8
"Department of Mental Health and Addiction Services","=""3370015""","Female","*","*","*"
"Department of Mental Health and Addiction Services","=""3370015""","Male","*","*","*"
"Derby School District","=""0370011""","Female",33,28,84.8
"Derby School District","=""0370011""","Male",51,35,68.6
"East Granby School District","=""0400011""","Female",34,34,100.0
"East Granby School District","=""0400011""","Male",38,38,100.0
"East Haddam School District","=""0410011""","Female",33,33,100.0
"East Haddam School District","=""0410011""","Male",42,40,95.2
"East Hampton School District","=""0420011""","Female",58,58,100.0
"East Hampton School District","=""0420011""","Male",73,68,93.2
"East Hartford School District","=""0430011""","Female",243,222,91.4
"East Hartford School District","=""0430011""","Male",318,273,85.8
"East Haven School District","=""0440011""","Female",106,92,86.8
"East Haven School District","=""0440011""","Male",129,91,70.5
"East Lyme School District","=""0450011""","Female",132,123,93.2
"East Lyme School District","=""0450011""","Male",126,115,91.3
"East Windsor School District","=""0470011""","Female",29,27,93.1
"East Windsor School District","=""0470011""","Male",48,40,83.3
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Female",44,31,70.5
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Male",29,16,55.2
"Ellington School District","=""0480011""","Female",103,102,99.0
"Ellington School District","=""0480011""","Male",98,94,95.9
"Elm City College Preparatory School District","=""2890013""","Female",16,13,"*"
"Elm City College Preparatory School District","=""2890013""","Male",14,9,"*"
"Enfield School District","=""0490011""","Female",183,165,90.2
"Enfield School District","=""0490011""","Male",186,159,85.5
"Explorations District","=""2720013""","Female",23,"*","*"
"Explorations District","=""2720013""","Male",8,"*","*"
"Fairfield School District","=""0510011""","Female",391,379,96.9
"Fairfield School District","=""0510011""","Male",395,373,94.4
"Farmington School District","=""0520011""","Female",124,123,99.2
"Farmington School District","=""0520011""","Male",159,158,99.4
"Glastonbury School District","=""0540011""","Female",243,239,98.4
"Glastonbury School District","=""0540011""","Male",270,266,98.5
"Granby School District","=""0560011""","Female",89,89,100.0
"Granby School District","=""0560011""","Male",83,80,96.4
"Greenwich School District","=""0570011""","Female",329,318,96.7
"Greenwich School District","=""0570011""","Male",353,335,94.9
"Griswold School District","=""0580011""","Female",57,52,91.2
"Griswold School District","=""0580011""","Male",76,62,81.6
"Groton School District","=""0590011""","Female",144,127,88.2
"Groton School District","=""0590011""","Male",150,126,84.0
"Guilford School District","=""0600011""","Female",135,135,100.0
"Guilford School District","=""0600011""","Male",131,126,96.2
"Hamden School District","=""0620011""","Female",205,184,89.8
"Hamden School District","=""0620011""","Male",197,157,79.7
"Hartford School District","=""0640011""","Female",664,522,78.6
"Hartford School District","=""0640011""","Male",711,475,66.8
"Highville Charter School District","=""2860013""","Female","*","*","*"
"Highville Charter School District","=""2860013""","Male","*","*","*"
"Jumoke Academy District","=""2610013""","Female",7,6,"*"
"Jumoke Academy District","=""2610013""","Male",9,7,"*"
"Killingly School District","=""0690011""","Female",99,88,88.9
"Killingly School District","=""0690011""","Male",115,90,78.3
"Learn","=""2450014""","Female",115,106,92.2
"Learn","=""2450014""","Male",89,83,93.3
"Lebanon School District","=""0710011""","Female",48,43,89.6
"Lebanon School District","=""0710011""","Male",46,39,84.8
"Ledyard School District","=""0720011""","Female",100,96,96.0
"Ledyard School District","=""0720011""","Male",98,87,88.8
"Litchfield School District","=""0740011""","Female",32,32,100.0
"Litchfield School District","=""0740011""","Male",41,40,97.6
"Madison School District","=""0760011""","Female",139,138,99.3
"Madison School District","=""0760011""","Male",128,124,96.9
"Manchester School District","=""0770011""","Female",231,200,86.6
"Manchester School District","=""0770011""","Male",251,196,78.1
"Meriden School District","=""0800011""","Female",276,234,84.8
"Meriden School District","=""0800011""","Male",311,236,75.9
"Middletown School District","=""0830011""","Female",165,154,93.3
"Middletown School District","=""0830011""","Male",176,159,90.3
"Milford School District","=""0840011""","Female",225,216,96.0
"Milford School District","=""0840011""","Male",233,208,89.3
"Monroe School District","=""0850011""","Female",127,125,98.4
"Monroe School District","=""0850011""","Male",116,112,96.6
"Montville School District","=""0860011""","Female",76,71,93.4
"Montville School District","=""0860011""","Male",78,66,84.6
"Naugatuck School District","=""0880011""","Female",139,122,87.8
"Naugatuck School District","=""0880011""","Male",169,142,84.0
"New Britain School District","=""0890011""","Female",336,274,81.5
"New Britain School District","=""0890011""","Male",332,246,74.1
"New Canaan School District","=""0900011""","Female",157,156,99.4
"New Canaan School District","=""0900011""","Male",158,152,96.2
"New Fairfield School District","=""0910011""","Female",98,96,98.0
"New Fairfield School District","=""0910011""","Male",124,122,98.4
"New Haven School District","=""0930011""","Female",736,619,84.1
"New Haven School District","=""0930011""","Male",726,564,77.7
"New London School District","=""0950011""","Female",124,101,81.5
"New London School District","=""0950011""","Male",148,115,77.7
"New Milford School District","=""0960011""","Female",153,147,96.1
"New Milford School District","=""0960011""","Male",162,142,87.7
"Newington School District","=""0940011""","Female",161,154,95.7
"Newington School District","=""0940011""","Male",176,166,94.3
"Newtown School District","=""0970011""","Female",203,198,97.5
"Newtown School District","=""0970011""","Male",205,196,95.6
"North Branford School District","=""0990011""","Female",72,70,97.2
"North Branford School District","=""0990011""","Male",57,52,91.2
"North Haven School District","=""1010011""","Female",118,115,97.5
"North Haven School District","=""1010011""","Male",138,126,91.3
"North Stonington School District","=""1020011""","Female",19,18,"*"
"North Stonington School District","=""1020011""","Male",27,24,88.9
"Norwalk School District","=""1030011""","Female",426,400,93.9
"Norwalk School District","=""1030011""","Male",434,377,86.9
"Norwich Free Academy District","=""9010022""","Female",306,272,88.9
"Norwich Free Academy District","=""9010022""","Male",293,238,81.2
"Old Saybrook School District","=""1060011""","Female",60,57,95.0
"Old Saybrook School District","=""1060011""","Male",50,45,90.0
"Oxford School District","=""1080011""","Female",79,77,97.5
"Oxford School District","=""1080011""","Male",83,80,96.4
"Plainfield School District","=""1090011""","Female",79,69,87.3
"Plainfield School District","=""1090011""","Male",92,67,72.8
