"Four-Year Graduation Rates, 2013-14"
"All Districts, Gender"

"",,,"Non-Graduates",,,
"District","Gender","Four-Year Cohort Count","Still Enrolled Count","Still Enrolled Rate","Other Count","Other Rate"
"Amistad Academy District","Female",15,"*","*","*","*"
"Amistad Academy District","Male",8,"*","*","*","*"
"Ansonia School District","Female",75,"*","*",12,16.0
"Ansonia School District","Male",82,"*","*",15,18.3
"Avon School District","Female",149,"*","*","*","*"
"Avon School District","Male",123,"*","*","*","*"
"Berlin School District","Female",115,"*","*","*","*"
"Berlin School District","Male",120,"*","*","*","*"
"Bethel School District","Female",117,6,5.1,"*","*"
"Bethel School District","Male",127,6,4.7,"*","*"
"Bloomfield School District","Female",84,6,7.1,"*","*"
"Bloomfield School District","Male",85,8,9.4,"*","*"
"Bolton School District","Female",53,"*","*","*","*"
"Bolton School District","Male",50,"*","*","*","*"
"Branford School District","Female",150,"*","*",6,4.0
"Branford School District","Male",149,"*","*",11,7.4
"Bridgeport School District","Female",618,40,6.5,94,15.2
"Bridgeport School District","Male",629,77,12.2,144,22.9
"Bristol School District","Female",339,19,5.6,23,6.8
"Bristol School District","Male",360,44,12.2,41,11.4
"Brookfield School District","Female",116,"*","*","*","*"
"Brookfield School District","Male",116,"*","*","*","*"
"Canton School District","Female",65,"*","*","*","*"
"Canton School District","Male",71,"*","*","*","*"
"Capitol Region Education Council","Female",200,"*","*",18,9.0
"Capitol Region Education Council","Male",117,"*","*",11,9.4
"Cheshire School District","Female",193,"*","*","*","*"
"Cheshire School District","Male",196,"*","*","*","*"
"Clinton School District","Female",61,"*","*","*","*"
"Clinton School District","Male",72,"*","*","*","*"
"Colchester School District","Female",140,"*","*","*","*"
"Colchester School District","Male",108,"*","*","*","*"
"Common Ground High School District","Female",15,"*","*","*","*"
"Common Ground High School District","Male",14,"*","*","*","*"
"Connecticut Technical High School System","Female",905,9,1.0,29,3.2
"Connecticut Technical High School System","Male",1518,16,1.1,40,2.6
"Coventry School District","Female",70,"*","*","*","*"
"Coventry School District","Male",63,"*","*","*","*"
"Cromwell School District","Female",73,"*","*","*","*"
"Cromwell School District","Male",61,"*","*","*","*"
"Danbury School District","Female",368,20,5.4,42,11.4
"Danbury School District","Male",393,63,16.0,42,10.7
"Darien School District","Female",167,"*","*","*","*"
"Darien School District","Male",169,"*","*","*","*"
"Department of Mental Health and Addiction Services","Female","*","*","*","*","*"
"Department of Mental Health and Addiction Services","Male","*","*","*","*","*"
