"Four-Year Graduation Rates, 2016-17"
"All Districts, Gender"

"",,,,"Non-Graduates",,,
"District","District Code","Gender","Four-Year Cohort Count","Still Enrolled Count","Still Enrolled Rate","Other Count","Other Rate"
"Achievement First Hartford Academy Inc. District","=""2880013""","Female",21,"*","*","*","*"
"Achievement First Hartford Academy Inc. District","=""2880013""","Male",10,"*","*",0,"*"
"Amistad Academy District","=""2790013""","Female",25,0,0.0,"*","*"
"Amistad Academy District","=""2790013""","Male",18,"*","*","*","*"
"Ansonia School District","=""0020011""","Female",85,"*","*","*","*"
"Ansonia School District","=""0020011""","Male",94,"*","*","*","*"
"Avon School District","=""0040011""","Female",132,"*","*",0,0.0
"Avon School District","=""0040011""","Male",116,"*","*","*","*"
"Berlin School District","=""0070011""","Female",120,"*","*","*","*"
"Berlin School District","=""0070011""","Male",115,"*","*","*","*"
"Bethel School District","=""0090011""","Female",109,0,0.0,"*","*"
"Bethel School District","=""0090011""","Male",100,"*","*","*","*"
"Bloomfield School District","=""0110011""","Female",95,"*","*","*","*"
"Bloomfield School District","=""0110011""","Male",99,"*","*","*","*"
"Bolton School District","=""0120011""","Female",41,"*","*","*","*"
"Bolton School District","=""0120011""","Male",28,0,0.0,0,0.0
"Branford School District","=""0140011""","Female",110,"*","*","*","*"
"Branford School District","=""0140011""","Male",148,"*","*","*","*"
"Bridgeport Achievement First District","=""2850013""","Female",16,"*","*",0,"*"
"Bridgeport Achievement First District","=""2850013""","Male",15,"*","*",0,"*"
"Bridgeport School District","=""0150011""","Female",679,49,7.2,88,13.0
"Bridgeport School District","=""0150011""","Male",725,77,10.6,144,19.9
"Bristol School District","=""0170011""","Female",313,17,5.4,17,5.4
"Bristol School District","=""0170011""","Male",320,29,9.1,19,5.9
"Brookfield School District","=""0180011""","Female",103,0,0.0,"*","*"
"Brookfield School District","=""0180011""","Male",126,"*","*","*","*"
"Canton School District","=""0230011""","Female",61,"*","*","*","*"
"Canton School District","=""0230011""","Male",57,"*","*","*","*"
"Capital Preparatory Harbor School Inc. District","=""2970013""","Female",6,0,"*",0,"*"
"Capital Preparatory Harbor School Inc. District","=""2970013""","Male",10,"*","*",0,"*"
"Capitol Region Education Council","=""2410014""","Female",254,"*","*","*","*"
"Capitol Region Education Council","=""2410014""","Male",242,"*","*","*","*"
"Cheshire School District","=""0250011""","Female",179,0,0.0,"*","*"
"Cheshire School District","=""0250011""","Male",212,12,5.7,0,0.0
"Clinton School District","=""0270011""","Female",80,"*","*","*","*"
"Clinton School District","=""0270011""","Male",59,"*","*","*","*"
"Colchester School District","=""0280011""","Female",116,"*","*","*","*"
"Colchester School District","=""0280011""","Male",96,"*","*","*","*"
"Common Ground High School District","=""2680013""","Female",15,0,"*",0,"*"
"Common Ground High School District","=""2680013""","Male",28,"*","*","*","*"
"Connecticut Technical Education and Career System","=""9000016""","Female",932,"*","*","*","*"
"Connecticut Technical Education and Career System","=""9000016""","Male",1499,"*","*","*","*"
"Coventry School District","=""0320011""","Female",71,"*","*",0,0.0
"Coventry School District","=""0320011""","Male",60,"*","*",0,0.0
"Cromwell School District","=""0330011""","Female",66,0,0.0,"*","*"
"Cromwell School District","=""0330011""","Male",78,0,0.0,"*","*"
"Danbury School District","=""0340011""","Female",366,34,9.3,23,6.3
"Danbury School District","=""0340011""","Male",415,61,14.7,50,12.0
"Darien School District","=""0350011""","Female",158,"*","*",0,0.0
"Darien School District","=""0350011""","Male",170,"*","*","*","*"
"Department of Mental Health and Addiction Services","=""3370015""","Male","*","*","*","*","*"
"Derby School District","=""0370011""","Female",43,"*","*","*","*"
"Derby School District","=""0370011""","Male",56,"*","*","*","*"
"East Granby School District","=""0400011""","Female",31,"*","*",0,0.0
"East Granby School District","=""0400011""","Male",27,0,0.0,0,0.0
"East Haddam School District","=""0410011""","Female",52,"*","*",0,0.0
"East Haddam School District","=""0410011""","Male",31,"*","*",0,0.0
"East Hampton School District","=""0420011""","Female",74,"*","*","*","*"
"East Hampton School District","=""0420011""","Male",59,"*","*","*","*"
"East Hartford School District","=""0430011""","Female",261,10,3.8,15,5.7
"East Hartford School District","=""0430011""","Male",260,17,6.5,16,6.2
"East Haven School District","=""0440011""","Female",105,12,11.4,14,13.3
"East Haven School District","=""0440011""","Male",138,19,13.8,12,8.7
"East Lyme School District","=""0450011""","Female",125,"*","*",0,0.0
"East Lyme School District","=""0450011""","Male",135,"*","*","*","*"
"East Windsor School District","=""0470011""","Female",40,"*","*","*","*"
"East Windsor School District","=""0470011""","Male",33,"*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Female",34,"*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Male",17,"*","*","*","*"
"Ellington School District","=""0480011""","Female",96,0,0.0,"*","*"
"Ellington School District","=""0480011""","Male",110,"*","*","*","*"
"Elm City College Preparatory School District","=""2890013""","Female",15,0,"*",0,"*"
"Elm City College Preparatory School District","=""2890013""","Male",20,"*","*","*","*"
"Enfield School District","=""0490011""","Female",189,11,5.8,8,4.2
"Enfield School District","=""0490011""","Male",200,17,8.5,23,11.5
"Explorations District","=""2720013""","Female",16,"*","*","*","*"
"Explorations District","=""2720013""","Male",6,"*","*","*","*"
"Fairfield School District","=""0510011""","Female",367,"*","*","*","*"
"Fairfield School District","=""0510011""","Male",368,"*","*","*","*"
"Farmington School District","=""0520011""","Female",128,"*","*",0,0.0
"Farmington School District","=""0520011""","Male",177,"*","*","*","*"
"Glastonbury School District","=""0540011""","Female",267,"*","*",0,0.0
"Glastonbury School District","=""0540011""","Male",217,"*","*","*","*"
"Granby School District","=""0560011""","Female",71,"*","*",0,0.0
"Granby School District","=""0560011""","Male",86,"*","*","*","*"
"Greenwich School District","=""0570011""","Female",308,"*","*",0,0.0
"Greenwich School District","=""0570011""","Male",333,"*","*","*","*"
"Griswold School District","=""0580011""","Female",74,0,0.0,"*","*"
"Griswold School District","=""0580011""","Male",69,"*","*","*","*"
"Groton School District","=""0590011""","Female",138,"*","*","*","*"
"Groton School District","=""0590011""","Male",138,"*","*","*","*"
"Guilford School District","=""0600011""","Female",132,"*","*",0,0.0
"Guilford School District","=""0600011""","Male",130,"*","*","*","*"
"Hamden School District","=""0620011""","Female",209,8,3.8,14,6.7
"Hamden School District","=""0620011""","Male",233,22,9.4,11,4.7
"Hartford School District","=""0640011""","Female",751,118,15.7,84,11.2
"Hartford School District","=""0640011""","Male",793,157,19.8,123,15.5
"Highville Charter School District","=""2860013""","Female",7,0,"*","*","*"
