"Four-Year Graduation Rates, 2010-11"
"All Districts, Gender"

"",,,"Graduates",,"Non-Graduates",,,
"District","Gender","Four-Year Cohort Count","Graduation Count","Graduation Rate","Still Enrolled Count","Still Enrolled Rate","Other Count","Other Rate"
"Amistad Academy District","Female",17,11,64.7,"*","*","*","*"
"Amistad Academy District","Male",12,6,50.0,"*","*","*","*"
"Ansonia School District","Female",94,68,72.3,8,8.5,18,19.1
"Ansonia School District","Male",94,62,66.0,15,16.0,17,18.1
"Avon School District","Female",136,133,97.8,"*","*","*","*"
"Avon School District","Male",118,110,93.2,"*","*","*","*"
"Berlin School District","Female",125,117,93.6,"*","*",6,4.8
"Berlin School District","Male",136,128,94.1,"*","*",7,5.1
"Bethel School District","Female",133,127,95.5,"*","*","*","*"
"Bethel School District","Male",117,105,89.7,"*","*","*","*"
"Bloomfield School District","Female",92,76,82.6,7,7.6,9,9.8
"Bloomfield School District","Male",95,63,66.3,20,21.1,12,12.6
"Bolton School District","Female",48,46,95.8,"*","*","*","*"
"Bolton School District","Male",26,24,92.3,"*","*","*","*"
"Branford School District","Female",135,128,94.8,"*","*","*","*"
"Branford School District","Male",149,138,92.6,"*","*","*","*"
"Bridgeport School District","Female",695,470,67.6,62,8.9,163,23.5
"Bridgeport School District","Male",742,399,53.8,127,17.1,216,29.1
"Bristol School District","Female",357,287,80.4,27,7.6,43,12.0
"Bristol School District","Male",352,257,73.0,41,11.6,54,15.3
"Brookfield School District","Female",121,117,96.7,"*","*","*","*"
"Brookfield School District","Male",144,134,93.1,"*","*","*","*"
"Canton School District","Female",56,53,94.6,"*","*","*","*"
"Canton School District","Male",64,60,93.8,"*","*","*","*"
"Capitol Region Education Council","Female",172,148,86.0,"*","*",20,11.6
"Capitol Region Education Council","Male",127,102,80.3,"*","*",13,10.2
"Cheshire School District","Female",164,161,98.2,"*","*","*","*"
"Cheshire School District","Male",211,195,92.4,"*","*","*","*"
"Clinton School District","Female",78,76,97.4,"*","*","*","*"
"Clinton School District","Male",67,58,86.6,"*","*","*","*"
"Colchester School District","Female",122,119,97.5,"*","*","*","*"
"Colchester School District","Male",128,113,88.3,"*","*","*","*"
"Common Ground High School District","Female",21,19,90.5,"*","*","*","*"
"Common Ground High School District","Male",17,14,82.4,"*","*","*","*"
"Connecticut Technical High School System","Female",838,774,92.4,"*","*",62,7.4
"Connecticut Technical High School System","Male",1505,1415,94.0,"*","*",80,5.3
"Coventry School District","Female",86,79,91.9,"*","*","*","*"
"Coventry School District","Male",67,59,88.1,"*","*","*","*"
"Cromwell School District","Female",94,89,94.7,"*","*","*","*"
"Cromwell School District","Male",76,70,92.1,"*","*","*","*"
"Danbury School District","Female",365,299,81.9,26,7.1,40,11.0
"Danbury School District","Male",393,286,72.8,49,12.5,58,14.8
"Darien School District","Female",161,157,97.5,"*","*","*","*"
"Darien School District","Male",166,156,94.0,"*","*","*","*"
