"Four-Year Graduation Rates, 2011-12"
"All Districts, Gender"

"",,,"Non-Graduates",,,
"District","Gender","Four-Year Cohort Count","Still Enrolled Count","Still Enrolled Rate","Other Count","Other Rate"
"Amistad Academy District","Female",8,"*","*","*","*"
"Amistad Academy District","Male",13,"*","*","*","*"
"Ansonia School District","Female",99,"*","*",13,13.1
"Ansonia School District","Male",106,"*","*",24,22.6
"Avon School District","Female",141,"*","*","*","*"
"Avon School District","Male",144,"*","*","*","*"
"Berlin School District","Female",147,"*","*","*","*"
"Berlin School District","Male",116,"*","*","*","*"
"Bethel School District","Female",128,"*","*","*","*"
"Bethel School District","Male",111,"*","*","*","*"
"Bloomfield School District","Female",104,11,10.6,"*","*"
"Bloomfield School District","Male",92,18,19.6,"*","*"
"Bolton School District","Female",37,"*","*","*","*"
"Bolton School District","Male",36,"*","*","*","*"
"Branford School District","Female",129,"*","*","*","*"
"Branford School District","Male",129,"*","*","*","*"
"Bridgeport School District","Female",632,42,6.6,131,20.7
"Bridgeport School District","Male",641,76,11.9,179,27.9
"Bristol School District","Female",319,14,4.4,27,8.5
"Bristol School District","Male",312,27,8.7,26,8.3
"Brookfield School District","Female",141,"*","*","*","*"
"Brookfield School District","Male",113,"*","*","*","*"
"Canton School District","Female",61,"*","*","*","*"
"Canton School District","Male",58,"*","*","*","*"
"Capitol Region Education Council","Female",167,"*","*",21,12.6
"Capitol Region Education Council","Male",168,"*","*",27,16.1
"Cheshire School District","Female",199,"*","*","*","*"
"Cheshire School District","Male",212,"*","*","*","*"
"Clinton School District","Female",61,"*","*","*","*"
"Clinton School District","Male",62,"*","*","*","*"
"Colchester School District","Female",140,"*","*","*","*"
"Colchester School District","Male",106,"*","*","*","*"
"Common Ground High School District","Female",13,"*","*","*","*"
"Common Ground High School District","Male",18,"*","*","*","*"
"Connecticut Technical High School System","Female",948,"*","*",40,4.2
"Connecticut Technical High School System","Male",1583,"*","*",56,3.5
"Coventry School District","Female",70,"*","*","*","*"
"Coventry School District","Male",83,"*","*","*","*"
"Cromwell School District","Female",74,"*","*","*","*"
"Cromwell School District","Male",78,"*","*","*","*"
"Danbury School District","Female",393,34,8.7,39,9.9
"Danbury School District","Male",364,58,15.9,45,12.4
"Darien School District","Female",162,"*","*","*","*"
"Darien School District","Male",149,"*","*","*","*"
"Derby School District","Female",49,"*","*",8,16.3
"Derby School District","Male",57,"*","*",8,14.0
"East Granby School District","Female",31,"*","*","*","*"
"East Granby School District","Male",30,"*","*","*","*"
"East Haddam School District","Female",58,"*","*","*","*"
"East Haddam School District","Male",44,"*","*","*","*"
"East Hampton School District","Female",77,"*","*","*","*"
"East Hampton School District","Male",88,"*","*","*","*"
"East Hartford School District","Female",292,15,5.1,35,12.0
"East Hartford School District","Male",299,42,14.0,46,15.4
"East Haven School District","Female",119,8,6.7,16,13.4
"East Haven School District","Male",111,11,9.9,29,26.1
"East Lyme School District","Female",159,"*","*","*","*"
"East Lyme School District","Male",144,"*","*","*","*"
"East Windsor School District","Female",45,"*","*","*","*"
"East Windsor School District","Male",44,"*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","Female",47,"*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","Male",39,"*","*","*","*"
"Ellington School District","Female",100,"*","*","*","*"
"Ellington School District","Male",103,"*","*","*","*"
"Elm City College Preparatory School District","Female",10,"*","*","*","*"
"Elm City College Preparatory School District","Male",9,"*","*","*","*"
"Enfield School District","Female",254,12,4.7,16,6.3
"Enfield School District","Male",258,18,7.0,30,11.6
"Explorations District","Female",18,"*","*",6,33.3
"Explorations District","Male",10,"*","*",6,60.0
"Fairfield School District","Female",383,11,2.9,9,2.3
"Fairfield School District","Male",307,11,3.6,9,2.9
"Farmington School District","Female",152,"*","*","*","*"
"Farmington School District","Male",152,"*","*","*","*"
"Glastonbury School District","Female",247,"*","*","*","*"
"Glastonbury School District","Male",265,"*","*","*","*"
"Granby School District","Female",98,"*","*","*","*"
"Granby School District","Male",91,"*","*","*","*"
"Greenwich School District","Female",315,7,2.2,9,2.9
"Greenwich School District","Male",331,21,6.3,13,3.9
"Griswold School District","Female",86,"*","*",8,9.3
"Griswold School District","Male",98,"*","*",10,10.2
"Groton School District","Female",167,6,3.6,29,17.4
"Groton School District","Male",178,7,3.9,21,11.8
"Guilford School District","Female",149,"*","*","*","*"
"Guilford School District","Male",138,"*","*","*","*"
