"Four-Year Graduation Rates, 2013-14"
"All Districts, Gender"

"",,,"Graduates",,"Non-Graduates",,,
"District","Gender","Four-Year Cohort Count","Graduation Count","Graduation Rate","Still Enrolled Count","Still Enrolled Rate","Other Count","Other Rate"
"Amistad Academy District","Female",15,12,80.0,"*","*","*","*"
"Amistad Academy District","Male",8,7,87.5,"*","*","*","*"
"Ansonia School District","Female",75,58,77.3,"*","*",12,16.0
"Ansonia School District","Male",82,62,75.6,"*","*",15,18.3
"Avon School District","Female",149,147,98.7,"*","*","*","*"
"Avon School District","Male",123,118,95.9,"*","*","*","*"
"Berlin School District","Female",115,110,95.7,"*","*","*","*"
"Berlin School District","Male",120,113,94.2,"*","*","*","*"
"Bethel School District","Female",117,111,94.9,6,5.1,"*","*"
"Bethel School District","Male",127,115,90.6,6,4.7,"*","*"
"Bloomfield School District","Female",84,77,91.7,6,7.1,"*","*"
"Bloomfield School District","Male",85,71,83.5,8,9.4,"*","*"
"Bolton School District","Female",53,51,96.2,"*","*","*","*"
"Bolton School District","Male",50,46,92.0,"*","*","*","*"
"Branford School District","Female",150,142,94.7,"*","*",6,4.0
"Branford School District","Male",149,130,87.2,"*","*",11,7.4
"Bridgeport School District","Female",618,484,78.3,40,6.5,94,15.2
"Bridgeport School District","Male",629,408,64.9,77,12.2,144,22.9
"Bristol School District","Female",339,297,87.6,19,5.6,23,6.8
"Bristol School District","Male",360,275,76.4,44,12.2,41,11.4
"Brookfield School District","Female",116,112,96.6,"*","*","*","*"
"Brookfield School District","Male",116,113,97.4,"*","*","*","*"
"Canton School District","Female",65,63,96.9,"*","*","*","*"
"Canton School District","Male",71,65,91.5,"*","*","*","*"
"Capitol Region Education Council","Female",200,177,88.5,"*","*",18,9.0
"Capitol Region Education Council","Male",117,104,88.9,"*","*",11,9.4
"Cheshire School District","Female",193,187,96.9,"*","*","*","*"
"Cheshire School District","Male",196,184,93.9,"*","*","*","*"
"Clinton School District","Female",61,55,90.2,"*","*","*","*"
"Clinton School District","Male",72,68,94.4,"*","*","*","*"
"Colchester School District","Female",140,135,96.4,"*","*","*","*"
"Colchester School District","Male",108,102,94.4,"*","*","*","*"
"Common Ground High School District","Female",15,14,93.3,"*","*","*","*"
"Common Ground High School District","Male",14,12,85.7,"*","*","*","*"
"Connecticut Technical High School System","Female",905,867,95.8,9,1.0,29,3.2
"Connecticut Technical High School System","Male",1518,1462,96.3,16,1.1,40,2.6
"Coventry School District","Female",70,69,98.6,"*","*","*","*"
"Coventry School District","Male",63,59,93.7,"*","*","*","*"
"Cromwell School District","Female",73,68,93.2,"*","*","*","*"
"Cromwell School District","Male",61,54,88.5,"*","*","*","*"
"Danbury School District","Female",368,306,83.2,20,5.4,42,11.4
"Danbury School District","Male",393,288,73.3,63,16.0,42,10.7
"Darien School District","Female",167,164,98.2,"*","*","*","*"
"Darien School District","Male",169,161,95.3,"*","*","*","*"
"Department of Mental Health and Addiction Services","Female","*","*","*","*","*","*","*"
"Department of Mental Health and Addiction Services","Male","*","*","*","*","*","*","*"
"Derby School District","Female",53,45,84.9,"*","*","*","*"
"Derby School District","Male",49,38,77.6,"*","*","*","*"
"East Granby School District","Female",25,25,100.0,"*","*","*","*"
"East Granby School District","Male",41,35,85.4,"*","*","*","*"
